#
# Heading: Word freq-Wortschatz Liepzig
#
# Source:
https://wortschatz.uni-leipzig.de/en/download/Vietnamese
#   -> vie-vn_web_2015_1M-words.txt [vie-vn_web_2015_1M.tar.gz]
#
#
#term	freq_per_million
reading	freq per million
hấp phụ	4
coi thường	4
bồ đề	4
ngờ nghệch	4
xiết chặt	4
chí ít	4
thầy đồ	4
trọng đại	4
quán cóc	4
co ro	4
mắt xanh	4
vũ nữ	4
ngày thứ hai	4
băng nhóm	4
nghi can	4
ngõ cụt	4
vây bắt	4
trung lộ	4
sam	4
lời chỉ trích	4
kỳ cựu	4
hoàn toàn bất ngờ	4
xuất gia	4
làm chứng	4
mượn tiền	4
bắt nhịp	4
điểm chính	4
tổng tuyển cử	4
nhà độc tài	4
đạc	4
phiên xử	4
vũ điệu	4
trèo lên	4
tiếp chuyện	4
khét tiếng	4
ông trùm	4
vào túi	4
căn cước	4
ngai vàng	4
duy vật	4
bút danh	4
mở đường cho	4
nếu vậy thì	4
duy ngã	4
ngõ ngách	4
gánh chịu	4
lỗ mũi	4
đĩa cứng	4
cảnh vật	4
cá voi	4
cấp tốc	4
đau ngực	4
dành dụm	4
quá quan	4
nhợt nhạt	4
xẹp	4
bất mãn	4
chồng chất	4
ắt hẳn	4
chu kỳ kinh nguyệt	4
mũi tiêm	4
trọng dụng	4
suốt thời gian	4
nan y	4
rõ là	4
e rằng	4
trái mùa	4
nhún nhường	4
nhảy vọt	4
nhảy nhót	4
trừng phạt	4
nổi giận	4
trông cậy	4
thích đáng	4
chẳng may	4
nội hàm	4
bể cạn	4
suôn	4
nộp đơn xin	4
vèo	4
điều khiển từ xa	4
non trẻ	4
kêu cứu	4
nét vẽ	4
vương miện	4
nét chữ	4
phổ biến rộng rãi	4
ỡm ờ	4
đường đạn	4
vô sự	4
hữu tình	4
quy y	4
hút máu	4
quỳ xuống	4
sự leo thang	4
ngây ngất	4
mẹ già	4
chính trị viên	4
thành thục	4
thương xá	4
tình hình chính trị	4
năm ba	4
nối ngôi	4
lâm bệnh	4
khoa thi	4
chất nổ	4
ngã ngửa	4
số tiền còn lại	4
cướp bóc	4
đường thủy	4
lớp băng	4
đúc đồng	4
ròng rã	4
đeo đuổi	4
đồng cỏ	4
nhà sinh vật học	4
sát nhập	4
vờn	4
sắp sửa	4
ông lão	4
lạnh buốt	4
chừng gần	4
mụn rộp	4
hốc mắt	4
quận huyện	4
tổng thu nhập	4
hưởng trợ cấp	4
tươi tốt	4
bao tải	4
cả hai tay	4
lóe	4
từ ghép	4
hãm hiếp	4
một bất ngờ	4
trật	4
búi tó	4
bào thai	4
thức giấc	4
kiều bào	4
siêu dẫn	4
dị đoan	4
đánh bài	4
một tháng sau	4
bành trướng	4
xe cộ	4
đậu phụng	4
chiến trận	4
vụng về	4
truy nã	4
kẻ khác	4
đáng ghét	4
lãnh cảm	4
khắc sâu	4
mưu đồ	4
phễu	4
đồng lõa	4
sáng chế ra	4
bất hợp pháp	4
tan rã	4
bùng lên	4
khôn lớn	4
sớm hôm	4
cổ họng	4
một lời khuyên	4
két bia	4
chỉ vào	4
một lát sau	4
bán dạo	4
một lần khác	4
đường về	4
kế vị	4
như quả	4
bất tỉnh	4
mùa nước	4
ngụ ngôn	4
xốn xang	4
mỹ nữ	4
bệnh sốt rét	4
ngày hôm trước	4
phú ông	4
qua thời gian	4
trao tay	4
lượng du khách	4
hưong	4
đánh đồng	4
bá tước	4
dùm	4
linh động	4
yên lặng	4
quả bom	4
nhảy cẫng	4
nhảy xuống	4
kháo nhau	4
nguồn cội	4
mang nặng	4
chăn thả	4
diễn thuyết	4
hành kinh	4
chóp	4
làm tin	4
dứt lời	4
thần thánh	4
mới làm	4
cũng không sao	4
bài học quý giá	4
như cũ	4
ý hướng	4
đảo mắt	4
vải bạt	4
nhảm	4
Băng Cốc	4
bi đát	4
bình an	4
sửa xe	4
đả động	4
kênh kiệu	4
bằng tiến sĩ	4
hống hách	4
mây dông	4
ngượng ngùng	4
màng cứng	4
số là	4
đồng xu	4
đầm đìa	4
êm ả	4
giả da	4
thuốc cao	4
rong rêu	4
giò	4
chả lụa	4
lạp xưởng	4
bao giờ cũng	4
hỗ trợ bạn	4
quậy	4
màn hình tinh thể lỏng	4
màng trinh	4
mang tiếng	4
giàn giáo	4
xong rồi	4
nhún vai	4
liếp	4
thấu	4
rảo bước	4
hạt mưa	4
so đo	4
ngạo	4
ngượng	4
rằn ri	4
hành pháp	4
thụt lùi	4
chế ngự	4
lá chắn	4
hàng lậu	4
cầu tiến	4
bốp	4
lùi bước	4
sửa sai	4
nhà máy thép	4
vệ binh	4
lịch trình	4
ứng trước	4
mức kỷ lục	4
uy	4
không rỉ	4
muôn phần	4
để ý tới	4
quanh quẩn	4
người bị hại	4
kẻ cắp	4
giữa trưa	4
bảnh	4
vựng	4
bí hiểm	4
LTS	4
chiến hạm	4
lòng yêu nước	4
quyên sinh	4
phần nhiều	4
ắc quy	4
lời chào	4
khác xa	4
kể lể	4
đội lốt	4
đặt để	4
lông mi	4
lòng bàn tay	4
nại	4
nhát gan	4
quẳng	4
cái điện thoại	4
nãy giờ	4
sốt sắng	4
phích	4
một người vợ	4
trồi	4
bị bắt sống	4
liên đoàn lao động	4
đấu trường	4
cẩm nang	4
bộ mã	4
dung dị	4
chạy đua	4
lẽ phải	4
bậc thang	4
hiền đức	4
lễ nghĩa	4
ngọn đồi	4
lẽ dĩ nhiên	4
dẫn giải	4
cầu siêu	4
nghị luận	4
cổ tự	4
bận bịu	4
nửa sau	4
cúng tế	4
đền miếu	4
xe mô tô	4
moóc	4
đồng khoa	4
thằng bạn	4
chạy vội	4
bây	4
lặn lội	4
xiếc	4
bánh tráng	4
đôi lần	4
bẩy	4
nồi cơm	4
lần cuối cùng	4
vét	4
thi thoảng	4
bạch chỉ	4
bãi cát	4
con giống	4
làm cỏ	4
gầu	4
Nam Cực	4
nước xốt	4
làm bài tập	4
ma trận	4
lao dốc	4
trong nội bộ	4
trắng tay	4
đáng kính	4
mất hết	4
trỗi dậy	4
thoát chết	4
địa ốc	4
máy hút bụi	4
xử lí thông tin	4
công bộc	4
độc tôn	4
trang bìa	4
tia cực tím	4
kiếu	4
học bạ	4
hiệu chỉnh	4
thượng thận	4
tụt hậu	4
mưa rào	4
Á Đông	4
kiết	4
thợ sơn	4
trả bài	4
chất phác	4
sinh tồn	4
sinh thời	4
vô hại	4
không có thể	4
biểu thị	4
như đã nói	4
trầm mặc	4
đổi ý	4
ba cái	4
ngại khó	4
thụt	4
làm ngay	4
áp dụng biện pháp	4
bậc thầy	4
Khổng Minh	4
vật nặng	4
không lực	4
không lâu sau khi	4
đoạn nhiệt	4
đợt sóng	4
cá trôi	4
nhịp điệu	4
chuyển dạ	4
bỏ phí	4
khá xa	4
khăn tắm	4
cạm bẫy	4
bày đặt	4
cột trụ	4
phản ứng dị ứng	4
kế cận	4
chơi bời	4
nhép	4
hớ hênh	4
trục lợi	4
thành công trong việc	4
công ơn	4
vạch trần	4
bao giờ cũng được	4
trấn tĩnh	4
khóc nức nở	4
liếc mắt	4
chả có	4
cầm được nước mắt	4
cập rập	4
khó khăn lớn nhất	4
viển vông	4
sấy khô	4
quá cảnh	4
vào trong nhà	4
con số chính xác	4
Thành Phố Hồ Chí Minh	4
nhà văn hóa	4
ngoại quốc	4
táo tợn	4
viện phí	4
lột xác	4
phân đạm	4
thúc	4
trắng tinh	4
quân sĩ	4
méo	4
tật xấu	4
thói hư	4
giấy mời	4
chằm chằm	4
cắt tóc	4
ngỏ ý muốn	4
tiền phòng	4
dằn	4
đểu	4
phụ bạc	4
hương sắc	4
xương thịt	4
đá màu	4
âu lo	4
người Nhật	4
chèo lái	4
chất chồng	4
tùy thân	4
chẳng thèm	4
sét đánh	4
than phiền	4
hàng nước	4
bán tháo	4
cạo râu	4
nhiên liệu lỏng	4
quân tử	4
đá lớn	4
tay ba	4
tấn phong	4
lóe lên	4
trâu bò	4
vẻn vẹn	4
khuỷu	4
vô ích	4
đi cầu	4
thiền đường	4
việc ấy	4
bánh trước	4
người bán hàng	4
ba lô	4
văn hào	4
nẹp	4
phong lan	4
đỉnh đầu	4
đay	4
ứ	4
cấu kết	4
cá bơn	4
làm biểu tượng	4
bị điện giật	4
bánh đúc	4
hóc búa	4
chăm chăm	4
Mông Cổ	4
rồng rắn	4
ngồi xổm	4
đi săn	4
nêu bật	4
từ bao đời nay	4
tỉnh duyên hải	4
vắt cam	4
quạt điện	4
dịch thuật	4
vũ phu	4
đàn chim	4
lãnh án	4
ngon ngọt	4
trống rỗng	4
bập bùng	4
mít tinh	4
hùng biện	4
phán đoán	4
thường sử dụng	4
giam cầm	4
viễn	4
phân xưởng	4
kế đó	4
mang tội	4
tiềm thức	4
trót dại	4
ở nước Mỹ	4
kinh lạc	4
đặt bút ký	4
giải Nobel	4
phóng vệ tinh	4
nha khoa	4
bày vẽ	4
toại nguyện	4
danh thiếp	4
hửng	4
thứ phi	4
Lý Tiểu Long	4
biệt kích	4
theo cảnh sát	4
triết thuyết	4
huy chương bạc	4
phế truất	4
gây trở ngại	4
càng phải	4
oằn	4
cáo trạng	4
riêng lẻ	4
vừa xảy ra	4
tủm tỉm	4
khoe của	4
bóng gió	4
huấn	4
hạ thế	4
đường viền	4
người máy	4
trần tình	4
miệng lưỡi	4
bùng	4
dinh thự	4
y phục	4
rong ruổi	4
ngần ấy	4
phúc hậu	4
hàng xách	4
chuyện khác	4
phục thù	4
trôi dạt	4
rình rập	4
nguyên bản	4
đánh đấm	4
thảnh thơi	4
nằm xuống	4
thanh lọc	4
cải cách kinh tế	4
bị nứt	4
đặt chân xuống	4
thật tình	4
tắt máy	4
xả hơi	4
hồi ức	4
bằng nhựa	4
thằn lằn	4
càn	4
nổi cơn	4
hồ thủy	4
biểu lộ	4
lý thú	4
ngôn ngữ học	4
điều tra viên	4
gặm	4
nhường nào	4
náo nức	4
hồi ấy	4
ý thức hệ	4
nội chiến	4
hồ đồ	4
ủ rũ	4
vĩnh cửu	4
danh sĩ	4
lôi kéo	4
sai trái	4
hoang phế	4
ngũ quan	4
đỏ lửa	4
địch quân	4
phận sự	4
ngụy biện	4
vỡ tổ	4
cửa kính	4
cùng lớp	4
đôn hậu	4
món ăn tinh thần	4
ủng hộ mạnh mẽ	4
trượt dốc	4
trong những dịp	4
hoa tai	4
nhật quỳ	4
hoạn quan	4
hoang mạc	4
ngẩn ngơ	4
mê hồn	4
thắng trận	4
tự ái	4
mềm mỏng	4
quan hệ ngoại giao	4
mai phục	4
thây kệ	4
bướm đêm	4
tưới cây	4
tạng phủ	4
tiểu khu	4
giác ngộ	4
trách cứ	4
hồng nhan	4
bộ xương	4
tự tại	4
giáo hội	4
cô quạnh	4
thẹn thùng	4
quê hương đất nước	4
tuốc bin	4
Hi Lạp	4
tiếng vang	4
dìu	4
cẩm thạch	4
đồ đệ	4
dạy bảo	4
tương tư	4
trầu	4
giá trung bình	4
tù và	4
tàu thủy	4
thịt nạc	4
đầu tư trực tiếp	4
qui ước	4
tót	4
trấn an	4
ngọc nữ	4
hiếm muộn	4
ai nấy	4
chia nhau	4
hiểm nghèo	4
lắc lư	4
bạch cầu	4
mát tay	4
thổ cẩm	4
nhà sàn	4
nước trà	4
xúc tác	4
bên hông	4
nhàm	4
nói sau	4
tiếc rằng	4
điền dã	4
nóng lòng	4
trước nhà	4
đập phá	4
Hồng Bàng	4
cạy	4
liên tỉnh	4
rượt	4
sự thất bại	4
đàn gà	4
đợi chờ	4
mòn mỏi	4
hệt	4
nháp	4
đạo cụ	4
ngắn ngủi	4
ngay lúc này	4
phúc đức	4
hãy nên	4
mối tình đầu	4
linh chi	4
rãnh	4
công ty nước ngoài	4
trắng đen	4
đường hóa học	4
bài đọc	4
thất truyền	4
nảy mầm	4
ngừng lại	4
chụp lấy	4
đón gió	4
lăm le	4
quân thù	4
ngước nhìn	4
quán nước	4
nhà trọ	4
bắt bớ	4
ngó ngàng	4
ngự	4
ngày mùng	4
thuốc thang	4
ngày giỗ	4
rằm	4
lao đao	4
ông lớn	4
mới toanh	4
bị sốc	4
hạn chót	4
ly cà phê	4
vương triều	4
tay sai	4
có liên hệ	4
bóng mát	4
làm bạn với	4
ngoài đường	4
mím	4
vốn liếng	4
lấn át	4
nuôi nấng	4
ngũ đại	4
khiếp	4
hạm đội	4
thù địch	4
không chính thức	4
thảm thiết	4
cực nam	4
thiếu khả năng	4
lay chuyển	4
xung lực	4
cơ giới hóa	4
bản báo cáo	4
hộp thư	4
dơ	4
ố	4
không thể thiếu được	4
tiền nhân	4
thay quần áo	4
giữ lấy	4
trong vắt	4
sóng bạc đầu	4
tóp	4
thoang thoảng	4
tiếng đàn	4
ngày một ngày hai	4
bạn hàng	4
tách biệt	4
đô vật	4
run run	4
thất lạc	4
sát hại	4
cây công nghiệp	4
phục hưng	4
tao nhã	4
mồ	4
giá trị lịch sử	4
không có lợi	4
trình độ ngoại ngữ	4
có vẻ ngạc nhiên	4
giáo phái	4
nằm lăn	4
sáng nào cũng	4
ray	4
vấn đề nan giải	4
khoa học xã hội	4
áp bức	4
tư sản	4
yêu quí	4
lùi lại	4
vào năm tới	4
bột lọc	4
lạ lẫm	4
giường chiếu	4
nhét	4
lên giường	4
ý nhị	4
chịu nổi	4
tiên cô	4
truyền thần	4
lạ mặt	4
săm lốp	4
thuốc độc	4
sát nhân	4
trong quân ngũ	4
bất thành	4
chậm tiến	4
tránh né	4
ngữ cảnh	4
râm ran	4
gà ác	4
họa phẩm	4
công ty đa quốc gia	4
truy lùng	4
vong	4
tình nghi	4
tống tiền	4
mếu	4
chen lấn	4
yếu đuối	4
tần ngần	4
ngào	4
liên miên	4
nghỉ trưa	4
nghĩa đen	4
bơ vơ	4
thật lòng	4
quán rượu	4
trái ngược với	4
em họ	4
anh lái xe	4
bện	4
cầu chúc	4
sĩ số	4
cảnh tỉnh	4
so với cùng kỳ năm trước	4
dự ước	4
tỵ	4
tùy ý	4
tinh luyện	4
té	4
đa tạ	4
ủng hộ quyết định	4
gấp khúc	4
nhiều cửa	4
bật cười	4
mồ hôi ướt đẫm	4
chang chang	4
hiệp sĩ	4
ra người	4
cai trị	4
bộ cánh	4
động học	4
nhà thám hiểm	4
buồn xo	4
không thấm nước	4
làm bậy	4
thay đổi hẳn	4
tử ngoại	4
công nông	4
tống đạt	4
dân tình	4
kỳ quặc	4
ngơ ngác	4
trói buộc	4
vô bổ	4
con cưng	4
lằng nhằng	4
uyển chuyển	4
đứng ngoài	4
đũa khuấy	4
mâu	4
xí xóa	4
người tìm kiếm	4
thò	4
rủi	4
sính	4
tàu ngầm hạt nhân	4
vẹn toàn	4
xếp đặt	4
bộn bề	4
không thể tránh	4
say sóng	4
cầm chừng	4
tu viện	4
gạt bỏ	4
người đời	4
vào đầu thế kỷ	4
dựa	4
khoanh tròn	4
trở về quê hương	4
lông vũ	4
mất máu	4
nội chính	4
không dứt	4
không phải là do	4
mầm mống	4
dưỡng khí	4
mó	4
rờ	4
động từ	4
vườn quốc gia	4
báo xuân	4
kỷ thuật	4
ở trong và ngoài nước	4
lận	4
dịch vụ thương mại	4
ước lệ	4
nhịp cầu	4
lương y	4
năm châu	4
liên khu	4
cá ngừ	4
từ tâm	4
ở nơi này	4
đi ra ngoài	4
nam cao	4
thành phẩm	4
cách ăn mặc	4
thập phương	4
tiền bối	4
đưa ra ý kiến	4
bâng khuâng	4
bấm nút	4
đất đá	4
san bằng	4
mù quáng	4
đoan chắc	4
mưu lược	4
hàng ăn	4
nhã	4
đớn đau	4
thương nhớ	4
từ xưa đến nay	4
hoạt động kinh tế	4
xế chiều	4
có sao	4
đó là lý do vì sao	4
đó là lý do tại sao	4
quí báu	4
sự trùng hợp	4
dì ruột	4
nghiệm thực	4
tu sửa	4
ném đá	4
ồn	4
có chân	4
măng non	4
thấp kém	4
dạn	4
dạm	4
trích từ	4
phó thương hàn	4
dịch tả	4
bất đối xứng	4
Đông và Tây	4
phục chế	4
trình báo	4
tôi đây	4
nghĩa lý	4
khí giới	4
bông hồng	4
cảm kích	4
tình trạng sức khỏe	4
mang một vẻ	4
gò má	4
châm biếm	4
mỉa mai	4
trần trụi	4
lơ là	4
rương	4
da nhăn	4
ngự trị	4
quân nhu	4
Tang	4
đôi bên	4
trong suốt cuộc đời	4
đa phương	4
ngư nghiệp	4
đánh máy	4
theo ý kiến	4
giáo dục học	4
đóng một vai trò quan trọng	4
chư vị	4
thao trường	4
xa lộ	4
thượng nghị	4
một phần ba	4
sảy ra	4
một cái gì đó	4
đến một lúc nào đó	4
sát khí	4
đay nghiến	4
độc đạo	4
trong lòng tôi	4
họa mi	4
nóng sáng	4
trên mặt đất	4
chiến thuyền	4
độ dốc	4
cách chức	4
gió mùa	4
nên thơ	4
nhịp độ	4
giao liên	4
hát ru	4
thân hữu	4
thăm viếng	4
ăn tết	4
suy diễn	4
đóng hộp	4
nước lọc	4
hơi quá	4
bề trên	4
vâng lời	4
dây thần kinh	4
ngoại bang	4
xơ cứng	4
thành kiến	4
nhà tư tưởng	4
phi đội	4
săn đuổi	4
cần tới	4
ru ngủ	4
đúng hơn	4
xích đạo	4
tín phong	4
tuyên truyền viên	4
tự sướng	4
sự phản ứng	4
thể diện	4
vững tâm	4
mãn tính	4
lực lượng lao động	4
ngạc nhiên về	4
xây lắp	4
trông vào	4
tê giác	4
điều đáng mừng là	4
điều đáng buồn là	4
kim sa	4
trong ngày đầu tiên	4
công báo	4
can dự	4
tạo ra sự khác biệt	4
di chỉ	4
ngột ngạt	4
nhân viên văn phòng	4
rau răm	4
thuốc ho	4
nạn đói	4
dễ thở	4
đĩa mềm	4
tậu	4
văn thể	4
siêu nhiên	4
làm mưa làm gió	4
kẻ trộm	4
bé bỏng	4
tin tặc	4
chiêm	4
quân chủ	4
vùng nguy hiểm	4
thợ săn	4
khí lực	4
nghì	4
tuyệt hảo	4
phác họa	4
vượt tuyến	4
đại thần	4
gặt	4
ba ba	4
chờ sẵn	4
hân hạnh	4
dượng	4
mù mịt	4
khói lửa	4
sập cửa	4
đồng dạng	4
ồn ã	4
Đài Bắc	4
oi bức	4
thong thả	4
nhà gái	4
nhà trai	4
cửa lưới	4
hối lộ	4
chui vào	4
nấm men	4
bệt	4
đọc lại	4
hòa khí	4
tăng lương	4
máy nổ	4
cốt truyện	4
kim tiền	4
như hôm nay	4
ngỗng	4
tiên đề	4
cao gót	4
thon thả	4
cao ráo	4
khá hơn	4
ngăn nắp	4
rau cải	4
áp dụng kỹ thuật	4
con đực	4
đáp ứng đòi hỏi	4
mới đầu	4
tương quan	4
hoạn	4
Cao Ly	4
nguyên do	4
qui tắc	4
người Ý	4
phần hướng dẫn	4
đến mấy	4
nền độc lập	4
dài hơi	4
lần thứ ba	4
nực cười	4
ý kiến khác nhau	4
phần một	4
công ty thành viên	4
càn quét	4
phô diễn	4
nền kinh tế thế giới	4
độ tin cậy	4
hồi tâm	4
tình hình hiện nay	4
cổ văn	4
cố thủ	4
ngọn cỏ	4
bắt chuyện với	4
chất rắn	4
vô trách nhiệm	4
vô lý	4
đảo ngược	4
sự hạn chế	4
khấu	4
sơ qua	4
sơn màu	4
đau nửa đầu	4
pi	4
đầu máy	4
từ dưới lên trên	4
xoắn ốc	4
bấm huyệt	4
đầu đuôi	4
ra khỏi phòng	4
đã từ lâu	4
tiếc công	4
vết sẹo	4
vơ vét	4
các nơi khác	4
có khuynh hướng	4
đãng trí	4
nhói	4
ngấn	4
trợ thủ	4
đa số chúng ta	4
quốc nội	4
sự đời	4
hồ tiêu	4
không có cơ sở	4
làm thầy	4
tan hoang	4
chùn bước	4
mập mạp	4
lùm	4
chiếc xe hơi	4
phương hại	4
đất hiếm	4
phác	4
chi ủy	4
chế xuất	4
nhọn hoắt	4
lọt thỏm	4
gầy yếu	4
hiếp dâm	4
suốt tháng	4
trừ nợ	4
đợt lũ	4
cong cong	4
địa chính	4
giời	4
dan	4
vỏ chai	4
thẳng tay	4
bên nhà	4
theo nghi thức	4
chiến hữu	4
mười lăm	4
bất khuất	4
có uy	4
mất trắng	4
đại đức	4
vón	4
ăn cá	4
trượt chân	4
gật	4
chạy tốt	4
đầu năm ngoái	4
kẻ ô	4
ngày nghỉ	4
cấp thấp	4
tìm cơ hội	4
bệnh tim	4
ao cá	4
đột xuất	4
viên đạn	4
trêu ngươi	4
làm ruộng	4
liên tịch	4
tối huệ quốc	4
ngày qua ngày	4
tất tả	4
nhà nho	4
học thuyết	4
vực thẳm	4
đánh phá	4
Bắc Việt	4
cây cao su	4
hạnh kiểm	4
trạm xe buýt	4
trại giam	4
sự sụp đổ	4
nồng cháy	4
có gắn	4
thiên vị	4
cơ cực	4
khôi hài	4
sang trang	4
nhĩ	4
ông trời	4
cứ như thế	4
thủ kho	4
thương mại điện tử	4
sinh hoạt bình thường	4
tái phạm	4
cảm hóa	4
kết nối Internet	4
cực độ	4
hội tề	4
dôi dư	4
rau màu	4
theo truyền thống	4
thần phục	4
nữ nghệ sĩ	4
nghệ sĩ nhân dân	4
giám hiệu	4
điềm tĩnh	4
con nuôi	4
những lần trước	4
sa đà	4
tới cửa	4
chớm nở	4
nước chấm	4
thắng bại	4
bảo vật	4
thám hiểm	4
sơ suất	4
đè nén	4
máy điện thoại	4
phân ra	4
tài khóa	4
thành kính	4
chấm phạt đền	4
bằng không	4
bắt đầu lại	4
phát sốt	4
mưa nhiều	4
bầu dục	4
đồ cũ	4
buồng trứng	4
tính trạng	4
biếu xén	4
viên đá	4
đờm	4
vòng đàm phán	4
làm nhân viên	4
noi theo	4
hòe	4
châu báu	4
lời cầu	4
ình	4
ó	4
tổng chi phí	4
phân cực	4
phô bày	4
sự cơ động	4
nhà trong	4
múa rối nước	4
nhân sinh	4
đôi giầy	4
đời sống tình dục	4
ghê rợn	4
dó	4
dị dạng	4
quay số	4
cán cân thương mại	4
truy thu	4
phát triển giáo dục	4
giá trần	4
sự cộng tác	4
xin hãy	4
thím	4
con trưởng	4
chào hỏi	4
năm rồi	4
bò sữa	4
ngang ngửa	4
chồn	4
nặng tình	4
nón quai thao	4
du xuân	4
vút	4
ngóc đầu	4
men theo	4
sang sông	4
mấy hôm nay	4
vài trăm ngàn	4
trũng	4
ban hành luật	4
chẳng cần	4
con nhà	4
sự so sánh	4
ích lợi	4
tiền sử	4
nhất định không	4
phông chữ	4
trung tính	4
quốc khánh	4
vấn đề kỹ thuật	4
già cỗi	4
ăn vụng	4
gạo nếp	4
khiêng	4
đồng nghĩa	4
tình tứ	4
mới tới	4
bồn chồn	4
cưỡng bức	4
định danh	4
ăn lương	4
áp tải	4
món hàng	4
vãn cảnh	4
sâu lắng	4
giặt đồ	4
người khách	4
tái bản	4
buông tay	4
bỏ về	4
tức khắc	4
nữ quyền	4
lặp	4
gác cổng	4
một chuyên viên	4
nghề chính	4
công ước	4
nhô cao	4
một mạch	4
diệt khuẩn	4
kiện hàng	4
trích đăng	4
an thần	4
uốn ván	4
bại liệt	4
bài vị	4
thiết bị cầm tay	4
xui	4
Việt hóa	4
ngẩn	4
bẫm	4
vươn vai	4
nhú	4
nuông chiều	4
anh rể	4
sàn nhảy	4
ngấu nghiến	4
điệp	4
dễ ghét	4
lủi	4
hục hặc	4
đầu đàn	4
người nghiên cứu	4
lộ phí	4
cánh chim	4
tốt lành	4
lẩm bẩm	4
nước lên	4
dây điện	4
bao che	4
thuộc lòng	4
bờ ruộng	4
ngoại ô	4
người ngoại quốc	4
làm đêm	4
vỗ đùi	4
oai nghiêm	4
tranh vẽ	4
nhìn thấu	4
cốt cách	4
tỏ ý	4
minh mẫn	4
rơi rụng	4
quay quắt	4
lấy lòng	4
muốn cho	4
như vầy	4
băng đảng	4
tận dụng cơ hội	4
sắp chết	4
nàng tiên	4
hoảng	4
ăn liền	4
chết đuối	4
lời mời	4
lại sức	4
tẩm bổ	4
trừng trừng	4
nhớ nhung	4
đại chiến	4
vóc	4
đứng đắn	4
cả tuần	4
lý do chính	4
tử nạn	4
vây quanh	4
ban quản trị	4
nóng giận	4
tỉnh lỵ	4
say rượu	4
xúc phạm	4
rượu cồn	4
kinh tế toàn cầu	4
chuyên gia kinh tế	4
chuyện đó	4
giá cạnh tranh	4
nhân thể	4
phim truyện	4
vạm vỡ	4
ngực nở	4
đối với mình	4
chu trình	4
gót chân	4
vênh	4
phụng sự	4
nhạc cổ điển	4
hòa nhạc	4
duy tu	4
xe lửa	4
khuấy động	4
tỏ tình	4
xem hát	4
bất cứ nơi nào	4
làm hết	4
mấy chục	4
đùa giỡn	4
gỡ rối	4
biến thể	4
kê toa	4
từ trước khi	4
ríu rít	4
đồng lương	4
mờ mờ	4
sắc phong	4
Nôm	4
tan nát	4
mở toang	4
nói thầm	4
ngưng lại	4
thư tịch	4
thành niên	4
đói khát	4
nhân sư	4
chiến tranh thế giới thứ hai	4
xưởng sản xuất	4
quĩ đạo	4
toán trưởng	4
cảnh ngộ	4
kêu trời	4
chõng	4
đầu thai	4
ngạn	4
phai màu	4
lộn trái	4
ô vuông	4
đua đòi	4
bên kia đường	4
phân cách	4
ngũ vị	4
cần nói	4
hành hương	4
cho tôi biết	4
ngày sau	4
bì	4
táp	4
nhảy dù	4
đào xới	4
mạ vàng	4
hao	4
rắn chắc	4
nghiêm trị	4
nhìn xa	4
trường mẫu giáo	4
thậm	4
em út	4
sân phơi	4
đứa trẻ mồ côi	4
thụ thể	4
trơ trọi	4
ối	4
ngửi	4
chẳng bao lâu	4
để yên	4
quán xuyến	4
vài tháng nữa	4
trung chuyển	4
quê mùa	4
có tướng	4
tụ họp	4
kiêm luôn	4
người chiến sĩ	4
sụt sùi	4
quên mình	4
quẹo	4
dẻo	4
kiêng kỵ	4
rẻo cao	4
vòng eo	4
tín hữu	4
mờ ám	4
một điều kiện	4
đọ sức	4
cơn lốc	4
ảm đạm	4
lòng thương	4
nhẫn nhục	4
khái	4
sản vật	4
tự do tôn giáo	4
linh mục	4
sự liên hệ	4
điều kiện tiên quyết	4
lò phản ứng	4
hóa trang	4
chất xúc tác	4
bản đàn	4
biết tới	4
thơm tho	4
quân ngũ	4
bình phục	4
có bầu	4
chợp mắt	4
hộ lý	4
sân bóng đá	4
chiều lòng	4
chiều hôm	4
đến hiện trường	4
siêu việt	4
binh đoàn	4
sôi sục	4
đậy nắp	4
cá vàng	4
gởi	4
vào cuối tuần qua	4
lan can	4
hữu dụng	4
hệ thống hóa	4
tỏa ra	4
đánh hơi	4
núm	4
hăng	4
tật nguyền	4
tân lang	4
thi thử	4
ai cũng phải	4
rọi	4
đứng lại	4
đóng khố	4
ở trần	4
thủy quái	4
chấm bài	4
theo dõi sát	4
ngất xỉu	4
đi ngang qua	4
hung thần	4
giây lát	4
thằng con trai	4
bảo anh	4
bất hủ	4
chen	4
chạm trán	4
thịnh hành	4
cuốn trôi	4
sau nhà	4
mệt nhọc	4
ngọn ngành	4
hong	4
kháng khuẩn	4
đau xót	4
cảm tạ	4
chắp tay	4
cao ngất	4
TCT	4
chín tầng mây	4
chan	4
kiên định	4
vật vờ	4
chóng vánh	4
tập tính	4
chống gậy	4
móm	4
bố chồng	4
khó nhọc	4
nộ	4
phướn	4
nóc nhà	4
cái thằng	4
lỏi	4
tính cộng	4
đa thức	4
bắp chân	4
trở xuống	4
rửa chén	4
dạo bước	4
tan vỡ	4
chung tình	4
loạn nhịp	4
chậm rãi	4
châm ngôn	4
nhiều quá	4
khát nước	4
lăng mạ	4
hững	4
hủy hoại	4
hét lên	4
địa điểm lý tưởng	4
con ở	4
ở đấy	4
rung rinh	4
dự án kinh doanh	4
phê phán	4
vùng rừng núi	4
lau sậy	4
cây cỏ	4
còi cọc	4
xám xịt	4
tính sao	4
cõi đời	4
lên gác	4
một lý do khác	4
phôn	4
lại mặt	4
