#
# Heading: Word freq-Wortschatz Liepzig
#
# Source:
https://wortschatz.uni-leipzig.de/en/download/Vietnamese
#   -> vie-vn_web_2015_1M-words.txt [vie-vn_web_2015_1M.tar.gz]
#
#
#term	freq_per_million
reading	freq per million
khỏi	180
công nghiệp	180
truyền	180
rẻ	180
trị	180
động	180
lượt	180
dần	178
đàn	178
trung bình	178
tác động	178
giấy	178
cập nhật	178
thuê	178
thịt	178
ký	178
hành động	175
chợ	175
vệ sinh	175
lo	175
đời sống	175
cô gái	175
nhân vật	175
không nên	175
tuyển	175
đóng	175
thăm	175
dẫn	175
lớn nhất	175
gần đây	173
thời trang	173
tốc độ	173
thanh	173
cục	173
chiếc xe	173
kéo	173
chuyên nghiệp	173
tài liệu	173
nhà đầu tư	173
pháp	173
những gì	173
những điều	173
chuyên môn	173
bộ phận	173
lịch	173
dự kiến	173
chủ đề	173
khắc	173
tranh	171
bậc	171
trên thế giới	171
cuộc thi	171
góc	171
tổ	171
phân tích	171
hệ	171
quy hoạch	171
vi phạm	171
chính xác	171
phí	171
món ăn	171
tấm	171
chàng	169
liên hệ	169
gió	169
cơ	169
an	169
duy nhất	169
phát	169
tính năng	169
vận động	169
khoa	169
sinh hoạt	169
xung quanh	169
lý	169
bạn bè	169
ý nghĩa	169
danh sách	169
y tế	169
song	166
con đường	166
mấy	166
buồn	166
hàng hóa	166
nông nghiệp	166
nhập	166
thủ	166
tết	166
phương tiện	166
theo dõi	166
dây	166
bệnh viện	166
cải thiện	166
phổ biến	166
với nhau	166
nổi bật	166
trước đây	164
thi đấu	164
bố	164
chùa	164
phát huy	164
ngừng	164
trao đổi	164
sự phát triển	164
độc đáo	164
phương án	164
tối đa	164
tư	164
sàn	164
chiến thắng	164
không cần	164
ra mắt	164
tải	162
cao cấp	162
nông dân	162
vẻ	162
dành	162
ban đầu	162
vượt qua	162
tiếng Anh	162
câu hỏi	162
đội bóng	162
sát	162
ngon	162
cả nước	162
đóng góp	162
chuyến	162
cửa	162
tham quan	162
trong khi đó	160
ủy	160
dáng	160
tình cảm	160
nguyên	160
tuyệt vời	160
tồn tại	160
tươi	160
lẫn	160
thị trấn	160
tầm	160
sư	160
vay	160
án	160
chính quyền	157
xấu	157
thật sự	157
hay không	157
thảo luận	157
ngôi nhà	157
gây ra	157
giống như	157
đầu năm	157
ý tưởng	157
mã	157
dẫn đến	157
chờ	157
đòi hỏi	157
vi	157
địa điểm	157
hơn nữa	157
âm nhạc	157
thể thao	157
người sử dụng	157
đón	157
kia	155
cảm ơn	155
nhiều hơn	155
cũng có thể	155
mục đích	155
sau này	155
lần đầu tiên	155
năng lượng	155
tuyên truyền	155
không khí	155
đảo	155
gói	155
con gái	155
bao nhiêu	155
điện tử	155
hết sức	155
tự do	155
bài viết	155
hợp đồng	155
thưởng	155
đề	153
cổng	153
tuyến	153
ra đời	153
vẫn chưa	153
trao	153
năng lực	153
kết	153
ương	153
bốn	153
chị em	153
người khác	153
phong trào	153
dân số	151
thay thế	151
liền	151
về phía	151
VN	151
nhìn thấy	151
suy nghĩ	151
tỉ	151
dường như	151
gái	151
công cụ	151
bầu	151
trang phục	151
gà	151
quốc	151
trở về	151
tập thể	151
xuất sắc	151
trình độ	151
ủng hộ	148
đạo	148
tìm thấy	148
lý do	148
thẻ	148
cười	148
mức độ	148
cha mẹ	148
số tiền	148
phát hành	148
biến	148
Huế	148
liên quan	148
nhận thức	148
nhập khẩu	148
thông thường	148
thành phần	148
sóng	148
thức ăn	148
trải	146
quên	146
tài khoản	146
vai	146
hồi	146
lạ	146
thế hệ	146
chúc	146
tấn công	146
trong lĩnh vực	146
hợp lý	146
thứ hai	146
ngủ	146
tình	146
hợp	146
chức	146
mưa	146
Sài Gòn	146
điều tra	146
trên thị trường	144
thuận lợi	144
cụ	144
quê	144
công an	144
hòa	144
tự tin	144
cứu	144
thông minh	144
vật liệu	144
sự nghiệp	144
quỹ	144
đợt	144
đổ	144
chú	142
chế biến	142
hai người	142
đem	142
túi	142
kì	142
bất kỳ	142
tham khảo	142
kỷ niệm	142
nguy hiểm	142
thế nào	142
liên kết	142
nhấn	142
bất động sản	142
tiêu thụ	142
tại đây	142
đề xuất	142
nghệ	142
ở mức	139
thoải mái	139
diễn	139
kiến trúc	139
với giá	139
nút	139
châu	139
hiện tượng	139
trò chơi	139
nghị	139
xem xét	139
căn hộ	139
sở	139
âm	139
nhiệt độ	139
tự động	139
ho	139
thuật	139
tế bào	137
bên trong	137
chậm	137
nói chung	137
chút	137
thay vì	137
đang có	137
chấp nhận	137
âm thanh	137
cháy	137
mang tính	137
Hải Phòng	137
cắt	137
mãi	137
gốc	137
mỗi người	137
váy	137
người tiêu dùng	135
cả hai	135
niềm	135
sức mạnh	135
đi vào	135
đổi	135
vào ngày	135
ánh sáng	135
thì phải	135
nào đó	135
đối tác	135
bố trí	135
phạt	135
từ đó	135
giúp đỡ	135
đổi mới	135
con số	135
làm sao	135
một lần	135
đại	135
tiếp theo	135
rơi	135
tim	133
được biết	133
nghiệm	133
thế nhưng	133
ngày nay	133
mặc	133
truy cập	133
tròn	133
nỗi	133
sẵn sàng	133
tình huống	133
dấu	133
đem lại	133
chụp	133
hưởng	133
cầm	133
nắng	133
bão	133
coi	130
an ninh	130
ngôi sao	130
cánh	130
nguyên liệu	130
hội thảo	130
lợi nhuận	130
lỗi	130
nền kinh tế	130
vườn	130
hoàn thiện	130
giả	130
tổng số	130
miệng	130
cực	130
tại sao	130
phục	130
tương tự	128
lưu ý	128
nhựa	128
ai cũng	128
thầy cô	128
TPHCM	128
sai	128
giảng dạy	128
cửa hàng	128
tiêu	128
bảo đảm	128
hẳn	128
năng	128
thành tích	128
anh ta	128
tạo điều kiện	128
quà	128
nông thôn	128
kho	128
gạo	128
tâm lý	126
lo lắng	126
hạ	126
con trai	126
phẫu thuật	126
Ấn Độ	126
lâu dài	126
cuộc đời	126
trình bày	126
trong nhà	126
vua	126
vỏ	126
quan điểm	126
đo	126
kinh	126
nạn nhân	126
tôm	126
tập đoàn	126
mũi	126
cuối năm	126
miễn phí	126
Thái Lan	124
ống	124
hồng	124
hàng ngày	124
một vài	124
tra	124
cung	124
cũng phải	124
trung	124
rượu	124
giảng viên	124
mềm	124
thích hợp	124
lao	124
tài	124
